,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[105],-2.232,0.847,-3.829,-0.628,0.012,0.009,4749.0,4586.0,4752.0,5579.0,1.0
mu_movie[106],1.164,1.022,-0.782,3.045,0.013,0.009,6489.0,6150.0,6490.0,6837.0,1.0
mu_movie[107],0.4,0.927,-1.306,2.182,0.015,0.01,3936.0,3936.0,3933.0,6201.0,1.0
mu_movie[108],-0.53,0.938,-2.236,1.253,0.014,0.01,4316.0,4316.0,4320.0,5099.0,1.0
mu_movie[109],1.773,1.214,-0.542,3.987,0.014,0.01,7125.0,6864.0,7124.0,6743.0,1.0
mu_movie[110],1.709,1.134,-0.451,3.813,0.013,0.01,7761.0,6885.0,7734.0,7063.0,1.0
mu_movie[111],-1.125,0.945,-2.911,0.629,0.015,0.011,3841.0,3841.0,3846.0,6233.0,1.0
mu_movie[112],-0.315,0.952,-2.054,1.535,0.015,0.011,3903.0,3903.0,3924.0,5915.0,1.0
mu_movie[113],2.669,1.014,0.793,4.596,0.012,0.009,6722.0,6496.0,6714.0,6398.0,1.0
mu_movie[114],-2.084,1.175,-4.253,0.162,0.013,0.01,8287.0,7504.0,8305.0,6389.0,1.0
mu_movie[115],-3.914,0.874,-5.49,-2.235,0.015,0.01,3627.0,3627.0,3636.0,5745.0,1.0
mu_movie[116],0.278,0.902,-1.436,1.943,0.014,0.01,4368.0,4368.0,4371.0,6205.0,1.0
mu_movie[117],-1.692,1.108,-3.836,0.334,0.013,0.009,7589.0,6958.0,7542.0,6431.0,1.0
mu_movie[118],0.705,0.969,-1.193,2.43,0.015,0.011,4145.0,4145.0,4152.0,5509.0,1.0
mu_movie[119],-1.174,0.927,-2.936,0.518,0.014,0.01,4106.0,4106.0,4113.0,6328.0,1.0
mu_movie[120],2.892,0.879,1.204,4.509,0.015,0.01,3508.0,3508.0,3512.0,6061.0,1.0
mu_movie[121],0.785,1.012,-1.127,2.678,0.013,0.01,6339.0,5494.0,6334.0,5904.0,1.0
mu_movie[122],-2.226,0.959,-4.012,-0.438,0.015,0.01,4348.0,4348.0,4350.0,6160.0,1.0
mu_movie[123],0.572,1.038,-1.352,2.541,0.013,0.01,6009.0,5282.0,6025.0,6885.0,1.0
mu_movie[124],-2.068,0.831,-3.621,-0.499,0.014,0.01,3756.0,3756.0,3759.0,5607.0,1.0
mu_movie[125],-1.837,1.0,-3.683,0.064,0.014,0.01,5118.0,5102.0,5127.0,5507.0,1.0
mu_movie[126],-0.095,0.937,-1.797,1.695,0.015,0.01,4120.0,4120.0,4131.0,5561.0,1.0
mu_movie[127],3.368,1.216,1.102,5.698,0.015,0.011,6389.0,6139.0,6377.0,6586.0,1.0
mu_movie[128],2.672,0.893,1.044,4.41,0.015,0.011,3607.0,3593.0,3615.0,4670.0,1.0
mu_movie[129],-0.048,0.944,-1.771,1.766,0.013,0.009,5047.0,5047.0,5049.0,6116.0,1.0
mu_movie[130],3.506,1.154,1.272,5.603,0.014,0.01,6663.0,6475.0,6664.0,6400.0,1.0
mu_movie[131],-5.031,1.04,-6.94,-3.028,0.013,0.009,6842.0,6822.0,6849.0,6214.0,1.0
mu_movie[132],-1.855,0.894,-3.532,-0.179,0.015,0.011,3624.0,3624.0,3631.0,5747.0,1.0
mu_movie[133],0.449,0.946,-1.323,2.223,0.015,0.01,4226.0,4226.0,4232.0,6002.0,1.0
mu_movie[134],-0.208,1.043,-2.273,1.651,0.015,0.011,5060.0,4129.0,5053.0,4933.0,1.0
mu_movie[135],2.26,0.936,0.46,3.98,0.014,0.01,4735.0,4455.0,4757.0,6128.0,1.0
mu_movie[136],-2.06,0.945,-3.83,-0.281,0.012,0.009,5789.0,5671.0,5786.0,6015.0,1.0
mu_movie[137],-3.125,0.98,-4.926,-1.219,0.012,0.009,6366.0,5946.0,6358.0,6076.0,1.0
mu_movie[138],-3.533,0.983,-5.385,-1.721,0.015,0.01,4420.0,4420.0,4426.0,6101.0,1.0
mu_movie[139],0.542,0.922,-1.122,2.303,0.014,0.01,4100.0,4100.0,4108.0,5382.0,1.0
mu_movie[140],0.479,1.025,-1.536,2.318,0.014,0.01,5259.0,4958.0,5267.0,5786.0,1.0
mu_movie[141],-0.749,0.952,-2.494,1.062,0.013,0.01,5420.0,4691.0,5427.0,5624.0,1.0
mu_movie[142],-1.34,0.933,-3.088,0.418,0.015,0.01,3982.0,3982.0,3978.0,5844.0,1.0
mu_movie[143],-3.152,0.957,-4.967,-1.4,0.014,0.01,4754.0,4754.0,4755.0,6533.0,1.0
mu_movie[144],-3.939,0.915,-5.621,-2.186,0.014,0.01,4157.0,4093.0,4167.0,5523.0,1.0
mu_movie[145],-1.038,0.992,-2.86,0.859,0.016,0.011,4095.0,4095.0,4108.0,5622.0,1.0
mu_movie[146],-0.072,1.02,-1.92,1.906,0.015,0.011,4664.0,4487.0,4671.0,5945.0,1.0
mu_movie[147],1.328,0.966,-0.411,3.209,0.014,0.01,4665.0,4526.0,4663.0,6218.0,1.0
mu_movie[148],-2.639,0.932,-4.38,-0.903,0.015,0.011,3773.0,3773.0,3769.0,5503.0,1.0
mu_movie[149],-1.532,0.97,-3.361,0.23,0.016,0.011,3868.0,3721.0,3860.0,5784.0,1.0
mu_movie[150],1.015,1.02,-0.826,2.992,0.015,0.01,4912.0,4912.0,4909.0,5855.0,1.0
mu_movie[151],-2.15,1.224,-4.518,0.085,0.014,0.011,7213.0,6584.0,7229.0,6453.0,1.0
mu_movie[152],3.629,1.016,1.784,5.543,0.013,0.009,6221.0,5976.0,6230.0,6217.0,1.0
mu_movie[153],-1.599,0.949,-3.396,0.164,0.015,0.01,4189.0,4189.0,4191.0,6080.0,1.0
mu_movie[154],-2.821,1.059,-4.875,-0.93,0.015,0.011,4948.0,4849.0,4957.0,5794.0,1.0
mu_movie[155],4.425,0.952,2.574,6.161,0.014,0.01,4722.0,4722.0,4727.0,6706.0,1.0
mu_movie[156],-1.173,0.982,-3.067,0.653,0.014,0.01,4842.0,4842.0,4846.0,5848.0,1.0
mu_movie[157],-0.057,0.97,-1.935,1.676,0.015,0.011,4098.0,4098.0,4104.0,5294.0,1.0
mu_movie[158],3.566,0.879,1.945,5.244,0.015,0.011,3453.0,3453.0,3462.0,5387.0,1.0
mu_movie[159],-3.005,0.957,-4.802,-1.219,0.014,0.01,4527.0,4527.0,4528.0,5880.0,1.0
mu_movie[160],0.811,0.919,-0.881,2.534,0.013,0.009,5038.0,5038.0,5067.0,6253.0,1.0
mu_movie[161],2.591,0.989,0.727,4.444,0.014,0.01,4712.0,4697.0,4711.0,5525.0,1.0
mu_movie[162],-2.082,0.989,-3.919,-0.231,0.013,0.01,5596.0,5290.0,5585.0,5583.0,1.0
mu_movie[163],-1.757,1.651,-4.89,1.258,0.015,0.014,11550.0,7286.0,11550.0,6907.0,1.0
mu_movie[164],-0.732,1.097,-2.708,1.37,0.015,0.011,5495.0,4905.0,5510.0,5710.0,1.0
mu_movie[165],-0.46,1.084,-2.547,1.561,0.013,0.011,6777.0,5219.0,6772.0,6737.0,1.0
mu_movie[166],0.889,1.092,-1.223,2.856,0.014,0.011,6441.0,5394.0,6446.0,6420.0,1.0
mu_movie[167],-0.089,0.985,-1.973,1.721,0.015,0.01,4558.0,4558.0,4555.0,6260.0,1.0
mu_movie[168],-0.342,0.95,-2.155,1.405,0.015,0.011,3799.0,3799.0,3815.0,5945.0,1.0
mu_movie[169],0.969,0.978,-0.823,2.84,0.014,0.01,4723.0,4723.0,4729.0,5813.0,1.0
mu_movie[170],1.093,0.919,-0.602,2.853,0.014,0.01,4415.0,4383.0,4423.0,5823.0,1.0
mu_movie[171],-0.424,0.944,-2.159,1.421,0.014,0.01,4437.0,4334.0,4432.0,5502.0,1.0
mu_movie[172],1.085,0.954,-0.686,2.887,0.015,0.011,3865.0,3865.0,3867.0,5782.0,1.0
mu_movie[173],0.819,1.109,-1.249,2.912,0.014,0.012,6179.0,4616.0,6184.0,5923.0,1.0
